publisher,total_global_sales,game_count,avg_sales_per_game,median_sales_per_game,active_years,platform_count,genre_count,avg_market_share_pct,high_success_rate
Soedesco,0.51,34,0.034,0.03,5,4,11,0.11464431305445029,0
Hect,0.5,9,0.16666666666666669,0.19,8,4,4,0.2156478879377656,0
Black Pearl,0.49,36,0.49,0.49,5,4,6,0.223183785014803,1
Popcorn Arcade,0.49,11,0.049,0.04,2,1,5,0.03615812635582664,0
Swing! Entertainment,0.48000000000000004,10,0.08,0.07500000000000001,4,4,8,0.04345846734136795,0
704Games,0.48,5,0.12,0.125,2,3,1,0.1403365329408115,0
Activision Blizzard,0.48,1,0.48,0.48,1,1,1,0.12901491734981857,1
Core Design Ltd.,0.48,6,0.16,0.19,5,4,4,0.24232141662082865,0
Pack In Soft,0.48,2,0.48,0.48,2,1,2,0.15385601641130842,1
Tripwire Interactive,0.47000000000000003,23,0.15666666666666668,0.14,7,10,5,0.05391000005533071,0
10TACLE Studios,0.47,7,0.094,0.03,5,5,6,0.02397059577106933,0
Ultravision,0.47,1,0.47,0.47,0,1,1,NA,1
2K Play,0.46,6,0.46,0.46,3,5,4,0.06172176899957063,1
Time Warner Interactive,0.46,34,0.07666666666666666,0.08499999999999999,5,12,9,0.1361327712268574,0
Asgard,0.45,14,0.03214285714285714,0.03,6,2,4,0.024418305531003624,0
Bomb,0.44,5,0.22,0.22,2,1,2,0.546737908712568,0
MTO,0.44,62,0.029333333333333333,0.01,13,7,8,0.009944689885405558,0
Shogakukan,0.44,18,0.08800000000000001,0.06,11,8,7,0.060087262368059426,0
Angel Studios,0.43999999999999995,14,0.14666666666666667,0.12,7,5,7,0.18734998580340514,0
DSI Games,0.43,32,0.043000000000000003,0.02,6,5,8,0.014376284110996831,0
Jack of All Games,0.43,4,0.1075,0.02,2,2,3,0.029479317937422964,0
Tetris Online,0.43,4,0.43,0.43,4,4,1,0.07477740678909293,1
Cave,0.42,17,0.035,0.03,7,4,5,0.015033398355639294,0
Electronic Arts Victor,0.42,25,0.21,0.21,6,8,9,0.19130038715554545,0
P2 Games,0.42,5,0.084,0.02,3,3,3,0.01891928334389499,0
Sears,0.42,15,0.21,0.21,4,1,6,8.898305084745763,0
TYO,0.42,3,0.42,0.42,3,1,1,0.14402798257947258,1
Mad Catz,0.41000000000000003,6,0.10250000000000001,0.09,3,6,3,0.024119698721166323,0
bitComposer Games,0.41000000000000003,17,0.082,0.08,6,6,6,0.055761566371225084,0
Magical Company,0.41,5,0.41,0.41,4,2,3,0.14059874489900895,1
ValuSoft,0.41,44,0.03727272727272727,0,13,3,10,0.015482177383931567,0
Blast! Entertainment Ltd,0.4,31,0.03076923076923077,0.01,4,5,8,0.019362521733648035,0
NCS,0.4,76,0.08,0.09,21,17,12,0.05052988702471677,0
Tru Blu Entertainment,0.39,21,0.039,0.025,7,6,2,0.0618370262698253,0
989 Sports,0.38,1,0.38,0.38,1,1,1,0.12180267965895249,0
Evolved Games,0.38,18,0.027142857142857142,0.015,6,6,5,0.011900052521867063,0
GameTrust,0.38,10,0.076,0.07,3,6,3,0.19799916631929973,0
Quinrose,0.38,38,0.012666666666666666,0.01,8,5,4,0.019916214973922933,0
